x_position,moment_x,moment_y,moment_z
150,14206.586453937069,-15130.587597701908,-955.9366814973471
155,14436.458614044794,-15359.98993718591,-965.6762752854384
160,14611.940586240067,-15529.614396661244,-968.0822581094586
165,14726.864466413479,-15623.558370014684,-962.6387413104161
170,14752.232565415132,-15616.264477760606,-955.1215858914277
175,14714.297807708508,-15549.743537348892,-953.6180071641371
180,14692.727818703523,-15520.110356356945,-963.2659223192979
185,14792.738852416785,-15647.43094653999,-985.8804953386874
190,15074.738203247944,-15978.419598535282,-1024.4361078997777
195,15421.603953675223,-16347.320851143542,-1054.0461807536587
200,15731.452138853434,-16650.713951249545,-1082.1864027344427
205,15937.22171240055,-16833.4064653955,-1103.6186341407863
210,16027.500451671332,-16900.896023847738,-1117.728012742721
215,15992.545880016427,-16847.53691506875,-1122.7219192678347
220,15939.269219517464,-16785.002855536,-1128.7840811456074
225,15992.92523740539,-16842.278879493228,-1139.5912353528565
230,16138.385198572518,-17001.574563253074,-1153.0856826239337
235,16388.38570195649,-17265.580010985836,-1174.281639850635
240,16728.305525722437,-17619.75069140392,-1198.9785822495207
245,17070.470484462418,-17974.19201961045,-1223.8328174063543
250,17335.37571728761,-18236.286963473096,-1249.2311204337843
255,17479.263052908707,-18366.808894250342,-1265.1649058720054
260,17502.075634272125,-18379.455270241127,-1270.6940583988578
265,17362.055540314388,-18217.865634734866,-1262.6304248266626
270,17092.29583427564,-17914.33187846488,-1241.1167356316114
275,16647.428313231052,-17436.587679965276,-1213.074586886039
280,16090.993024551646,-16838.90301856966,-1173.2159061643863
285,15585.484709854387,-16306.890495908794,-1142.1308092653449
290,15262.360150916224,-15968.19627003416,-1125.7720541760762
295,15012.390263446248,-15661.56678603916,-1122.199988829656
300,14708.104001580876,-15286.164928685519,-1131.4564984571944
305,14467.657397142642,-15044.953890105095,-1141.8675621506636
310,14353.853546178176,-14962.783853937619,-1141.1977706822802
315,14309.899518678509,-14924.986437254436,-1134.1480511734635
320,14303.912390656067,-14923.274685060873,-1122.8619235102674
325,14324.118275226256,-14938.08777929242,-1125.1829423176107
330,14290.405506143994,-14898.880372202071,-1126.3355726511236
335,14223.76574009437,-14865.507203500747,-1125.1621105932663
340,14257.283220191368,-14944.296860820823,-1121.6041018797735
345,14414.010567725736,-15101.718224777815,-1118.8155092134944
350,14590.584936433732,-15233.525891349302,-1118.3040035303595
355,14756.893276526731,-15329.068405617265,-1115.6097070215378
360,14977.287273245509,-15511.056297720961,-1121.868037171777
365,15184.187483646898,-15680.534566588274,-1119.6629265826978
370,15339.516215331389,-15817.773821868843,-1117.5678471515769
375,15436.451977564386,-15913.332329916419,-1113.8242372647517
380,15464.538771570267,-15957.473589281595,-1108.1822325616356
385,15440.11815522858,-15959.995312236277,-1104.049049006558
390,15392.971074445799,-15933.573197861915,-1106.308277295092
395,15325.257551584291,-15869.880651564314,-1115.516816131423
400,15229.886857205292,-15763.537643820513,-1128.5280271552335
405,15111.58400718452,-15633.246074100847,-1143.1534817878019
410,14995.814293212301,-15515.34149756047,-1157.910925960447
415,14905.40556719878,-15437.256803502407,-1172.5835793208278
420,14841.130761889926,-15396.107124729344,-1184.980728552518
425,14802.556178233193,-15386.304742629252,-1193.3135698617305
430,14801.256443655773,-15413.31425116219,-1198.6457716321659
435,14849.362805841767,-15484.646758710964,-1201.8001938530094
440,14948.037784006408,-15600.234462687082,-1203.4310056282336
445,15095.608263436005,-15773.759671896978,-1206.3798406967255
450,15247.580286561699,-15908.756614180324,-1198.007866211878
