x_position,total_body_moment_x,total_body_moment_y,total_body_moment_z
150,-792.8757985520198,-68.29246483192487,-1319.3412513992967
155,-804.924070379679,-53.847224250413376,-1340.2829989943064
160,-817.9503849237643,-32.560249319554956,-1356.6741477460912
165,-826.9700662393933,0.24313620096441468,-1367.570668990459
170,-823.8889979055042,31.47837217772371,-1369.735981941389
175,-809.3738399978436,45.05017990558418,-1365.3984669355154
180,-793.3867486277999,34.92099816620576,-1362.2697989168635
185,-792.0638844565898,3.8543597683731505,-1370.7322617340446
190,-801.8329793187742,-37.71913482375507,-1395.5891507326296
195,-816.6220700872054,-44.71542581913813,-1426.6809708093574
200,-812.4683645557692,-42.730166710814046,-1453.0003703765933
205,-794.7361341744962,-38.26865241486304,-1469.2896173769698
210,-772.578452543763,-39.04088011369606,-1475.2070960918222
215,-750.2747952161451,-44.63588745997852,-1470.3014442630415
220,-727.4207018817837,-60.386933259554226,-1463.755789795888
225,-716.6801665763279,-75.96142549702618,-1467.411864015636
230,-719.8173093278414,-86.77136115874757,-1480.193910262797
235,-725.2998781028169,-95.14228362399305,-1502.2157157197335
240,-737.6078879456284,-96.099778307363,-1532.6119160112978
245,-751.2077484892992,-93.76609902229197,-1563.3480366884028
250,-748.484889084667,-94.1520396171224,-1586.0202297508206
255,-738.2410548743559,-91.78831648199511,-1597.5732456689123
260,-731.2146068429015,-89.3787774487964,-1598.9097463616831
265,-719.7359273380655,-80.15540403918763,-1585.9031962439533
270,-705.4377156352275,-61.22549786882821,-1561.3461377382503
275,-679.6490520572515,-56.33539256847776,-1520.6316654904342
280,-650.6420863125252,-45.93940733901994,-1470.1255641853909
285,-618.678010223808,-54.03093183060925,-1423.7232225686237
290,-593.7872471095965,-65.72208895345305,-1393.559312267938
295,-542.294413640023,-64.43500134282934,-1367.4824511249683
300,-459.0087968896723,-83.92955687654873,-1334.1641321432467
305,-417.60804752122516,-130.5322016684071,-1309.8378466556069
310,-424.9682217280288,-156.28776885150512,-1300.5623936557633
315,-434.85863327007326,-151.86144775100598,-1297.585230853552
320,-455.5344708442226,-133.30983711503129,-1298.898933570795
325,-457.1883264227412,-126.36023292901473,-1300.7516242863187
330,-452.8663651188327,-125.95425202106381,-1297.5128897809795
335,-464.56250013528415,-148.13223170477153,-1292.7754190664414
340,-493.40071924977804,-163.01914905407784,-1298.1253618098613
345,-512.127305544725,-141.8820757895486,-1313.3582147307661
350,-507.2136748833228,-99.35045604834528,-1328.4448680945331
355,-489.98382158006206,-43.1101241065912,-1341.5183971172078
360,-482.6058275621413,-9.92078358483764,-1360.325919132597
365,-487.88161551181537,36.349049647792505,-1378.9267875194516
370,-496.7484668431331,66.13501184815385,-1393.287635867317
375,-510.9871547466057,84.06307469395439,-1402.9902349158385
380,-530.6843473331835,89.38695602371092,-1407.1336408374527
385,-549.90567617524,82.28343227376864,-1406.6135346996223
390,-556.3040072083706,66.93405508173835,-1402.96534650279
395,-543.2079366271219,47.00104479835535,-1395.8522698452089
400,-514.0204374590247,24.669327325348466,-1384.9807336829658
405,-478.6508400196971,-3.5351666043553216,-1371.5914743033145
410,-447.6137013447444,-37.182947264563445,-1358.7640794770978
415,-426.3000275649017,-75.03818328222613,-1348.8989308996536
420,-415.91233090829144,-111.82930724977594,-1342.2055636474252
425,-416.08291447684957,-142.46944453335166,-1338.6507519861675
430,-423.4570386946328,-164.2583952944593,-1338.9815272173116
435,-435.93623069534647,-174.6619786947683,-1344.0977352079653
440,-452.2462823110419,-173.83971963682723,-1353.9828534514827
445,-476.4193124259253,-173.55366747405387,-1368.906833085859
450,-495.85040124981117,-133.1444268459772,-1383.858351223065
