x_position,wind_velocity_x,wind_velocity_y,wind_velocity_z
150,-9.312691,0.016948074,-0.77412134
155,-9.283351,0.14866936,-0.53076154
160,-9.250171,0.3371523,-0.3458923
165,-9.211816,0.5445415,-0.22941166
170,-9.101946,0.67506266,-0.21552728
175,-8.870428,0.6870156,-0.27706516
180,-8.545113,0.6335505,-0.3412919
185,-8.232387,0.5631416,-0.27951154
190,-7.9800777,0.4747659,0.038678706
195,-7.786754,0.3970871,0.3827032
200,-7.663483,0.36305082,0.70205677
205,-7.6413383,0.2932825,0.888483
210,-7.7113857,0.13692144,0.951618
215,-7.833841,-0.056034923,0.8819186
220,-7.965316,-0.16936645,0.8018845
225,-8.074063,-0.20959601,0.85932386
230,-8.130552,-0.21262619,1.0191089
235,-8.113186,-0.16294777,1.2954699
240,-8.042401,-0.09920882,1.6668491
245,-7.9570713,-0.1741978,2.0180645
250,-7.8627768,-0.3480087,2.27947
255,-7.749606,-0.4494412,2.431282
260,-7.6232815,-0.5640997,2.4529157
265,-7.4854326,-0.65307534,2.3162766
270,-7.330604,-0.73253584,2.0476382
275,-7.1789765,-0.80771947,1.5983807
280,-7.1324477,-0.84555393,1.0184244
285,-7.177585,-0.7599193,0.5095142
290,-7.1863155,-0.7584536,0.1994862
295,-7.0566053,-1.0390183,-0.048196197
300,-6.7610035,-1.3685071,-0.40949136
305,-6.4024687,-1.4121927,-0.72182405
310,-6.1865454,-1.3900245,-0.8867643
315,-6.0447397,-1.2422333,-0.9138676
320,-5.8500886,-1.1516781,-0.9077319
325,-5.6020236,-1.236883,-0.8875753
330,-5.377042,-1.2231194,-0.96019936
335,-5.394298,-1.263078,-1.0925511
340,-5.6347966,-1.1781933,-1.0865706
345,-5.806601,-0.94564515,-0.9284578
350,-5.779479,-0.5658345,-0.747284
355,-5.723399,-0.14724839,-0.5268368
360,-5.5627337,0.52872896,-0.32666332
365,-5.5659304,0.8865305,-0.10611603
370,-5.628562,1.1310109,0.056358516
375,-5.7090015,1.2460847,0.15576512
380,-5.7780976,1.2366228,0.18411809
385,-5.796097,1.0998513,0.1602368
390,-5.715249,0.85645425,0.109184235
395,-5.5239534,0.54414874,0.023993194
400,-5.260947,0.21067981,-0.102083385
405,-4.9939213,-0.11664837,-0.25617343
410,-4.7788258,-0.44057292,-0.403836
415,-4.6486106,-0.77151793,-0.51074153
420,-4.609033,-1.0852009,-0.57599235
425,-4.6411877,-1.3254715,-0.5996546
430,-4.7134466,-1.4502289,-0.5747819
435,-4.809991,-1.4443928,-0.49649438
440,-4.925269,-1.3280833,-0.36571047
445,-5.0486317,-1.1417378,-0.2056064
450,-5.1732764,-0.9329049,-0.031615734
