x_position,torque_x,torque_y,torque_z
150,-14801.591580857306,13865.160025932655,-1563.568242370236
155,-15046.697618519613,14114.615822729473,-1590.9051047144944
160,-15264.425489886897,14345.189076981922,-1614.5826409935914
165,-15524.65601134355,14605.695936371441,-1639.8868492308127
170,-15920.070052792931,14992.810434362034,-1679.386527248916
175,-16368.894638189426,15434.570196644638,-1725.6136230003324
180,-16757.428029727023,15816.286477848455,-1766.745508882734
185,-17033.92728886121,16084.961806802628,-1796.72355511787
190,-17212.45842215539,16243.26056469499,-1812.270140995568
195,-17374.85570338393,16364.106514289424,-1819.6396358899729
200,-17523.90538320281,16468.585544069254,-1821.8476987956467
205,-17623.550501429258,16545.749877765407,-1819.0751981875599
210,-17642.753541642975,16570.296542714117,-1814.0641784668312
215,-17587.950919438357,16533.976489937504,-1808.786928848686
220,-17481.34430078523,16441.20031814282,-1801.2341680979937
225,-17375.761986384136,16334.971474821143,-1792.846737365404
230,-17345.755173676014,16290.636715354012,-1789.5291046388156
235,-17427.016760728817,16352.697598966144,-1795.0393767522046
240,-17599.461826222898,16512.60785891791,-1805.2482331797873
245,-17841.056215857992,16755.135421083884,-1820.7406490834023
250,-18123.9801856746,17052.21654072023,-1841.6401447073347
255,-18366.8985526958,17345.034790414527,-1860.439087211748
260,-18405.527591801358,17449.321751458283,-1857.9734646809911
265,-18248.232836832354,17390.853068270586,-1829.284213053879
270,-17883.04822754975,17127.06781208488,-1780.8423832858307
275,-17325.32162835198,16668.284436709946,-1713.8288331127176
280,-16674.36900950188,16083.130184108773,-1633.46662539935
285,-16067.434807702579,15513.537649979487,-1568.2185933457647
290,-15433.829863708763,14927.415097277084,-1510.1753844307227
295,-14664.02116221496,14253.247217025526,-1442.0709541221509
300,-13937.140501504475,13551.770916858683,-1356.8047291423275
305,-13816.331985777651,13265.120847611444,-1306.3266335731346
310,-14101.569700980965,13441.292735102117,-1304.243245695598
315,-14277.298415710517,13628.939236461252,-1312.3329456501895
320,-14467.142394038798,13811.538585008358,-1335.7451496117799
325,-14888.341308721168,14151.13318157014,-1386.5328651361763
330,-15588.216586396858,14713.6654344183,-1465.7886987354377
335,-16350.384650926964,15356.078618771748,-1554.8247427014771
340,-16859.856542205158,15809.400534342054,-1625.0240295635472
345,-17135.962005997382,16060.35864681826,-1677.5676715661818
350,-17359.5395842974,16273.467575100918,-1727.0212302495656
355,-17545.89099548954,16475.31589048416,-1773.317849069653
360,-17642.52768164163,16625.366014090803,-1808.7520086592667
365,-17577.530138223538,16616.981973340153,-1813.4567534129412
370,-17538.045814911264,16653.679847021845,-1832.1144183524507
375,-17404.96401240256,16584.77582232345,-1827.2134106228746
380,-17298.116504052494,16528.694986732047,-1817.600253209146
385,-17243.731336299847,16513.379985517586,-1807.317228362024
390,-17229.150592216487,16531.678339135862,-1797.2884960269078
395,-17221.488221765845,16550.322467877093,-1786.2832992022006
400,-17202.533508813252,16546.486523540123,-1774.0588339134245
405,-17176.474529176354,16519.073129561046,-1761.442700613677
410,-17155.533652876613,16478.83674941777,-1749.1076548186998
415,-17141.490879865636,16431.75264117288,-1736.2807790434415
420,-17129.563674921133,16377.434073698741,-1722.0961906874531
425,-17119.937567042773,16321.047882872228,-1707.0164920842742
430,-17120.24299223288,16276.465555756433,-1693.6480821503098
435,-17131.462643810624,16251.51001553912,-1683.7895298047963
440,-17154.574228677753,16250.536577305857,-1677.8133869465985
445,-17190.244573610697,16275.158800625215,-1675.623717058947
450,-17240.937128615522,16325.430961736622,-1677.5501049618829
