RPM,WindMagnitude,AngleDegrees,AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
45,0,-20,0.0,2.170486013142181e-13,-1.1854961456947422e-12,4142.7940887860395,-3.993250174971763e-12,-6.210143510543276e-12,-1381.9931036079743
45,0,-20,36.0,1.1396109750316796e-12,-1.2084777623044829e-12,4142.794088786035,2.0983215165415459e-13,-6.142641950646066e-12,-1381.9931036079734
45,0,-20,72.0,2.344680005705868e-12,-8.79296635503124e-14,4142.794088786039,1.4949819160392508e-11,-3.728573005901126e-12,-1381.9931036079727
45,0,-20,108.0,8.293365993949919e-13,3.566036355096003e-13,4142.7940887860495,4.54036808150704e-12,-3.917755009297252e-12,-1381.993103607978
45,0,-20,144.0,1.085576073478478e-12,8.071321389024888e-13,4142.794088786047,1.283240180782741e-11,1.6155965454345278e-12,-1381.993103607977
45,0,-20,180.0,5.150324611236101e-13,-2.0872192862952943e-14,4142.794088786045,1.4415135751733033e-11,-5.9543481256696396e-12,-1381.9931036079774
45,0,-20,216.0,-2.8543140073722384e-13,-3.5271785492341223e-13,4142.7940887860495,8.211653579337508e-12,3.844036200462142e-12,-1381.993103607979
45,0,-20,252.0,1.2252421299763228e-12,-2.2426505097428162e-14,4142.7940887860495,1.2120082715227909e-11,8.65796323523682e-12,-1381.9931036079784
45,0,-20,288.0,1.1364242880063102e-12,1.6686652060116103e-13,4142.7940887860495,7.613465413669473e-12,1.5297985100914957e-11,-1381.9931036079765
45,0,-20,324.0,1.3112844143847724e-12,8.514300375850326e-13,4142.79408878604,4.437339384821826e-12,2.105515761741117e-11,-1381.993103607975
45,0,-15,0.0,6.040723476985477e-13,2.814415367424772e-12,4142.7940887860495,-1.3164580536795256e-11,3.33351124481851e-11,-1381.9931036079772
45,0,-15,36.0,-6.670115848539382e-13,3.1062930005987255e-12,4142.794088786039,-2.1833423957673403e-11,2.8101965199311962e-11,-1381.9931036079747
45,0,-15,72.0,-1.7641443861293737e-13,9.030554082301023e-13,4142.794088786039,-1.0613732115416497e-11,1.2612133559741778e-13,-1381.9931036079743
45,0,-15,108.0,1.2578826869003024e-13,1.8743340213234205e-12,4142.794088786038,-3.268496584496461e-12,8.029132914089132e-12,-1381.9931036079743
45,0,-15,144.0,6.835643162617089e-13,1.4022116801015727e-12,4142.794088786041,1.2157386208855314e-11,6.154188270102168e-12,-1381.9931036079765
45,0,-15,180.0,-2.2248869413488137e-13,2.6256774532384952e-12,4142.794088786039,9.240608278560103e-12,2.7640112421067897e-11,-1381.9931036079754
45,0,-15,216.0,-1.8107841615044862e-12,4.2721381987576024e-13,4142.794088786047,-1.5758061522319622e-11,3.1228353236656403e-12,-1381.9931036079784
45,0,-15,252.0,-6.581402089977928e-13,-1.1078915562734437e-12,4142.794088786048,-6.156852805361268e-12,-1.148947603724082e-11,-1381.993103607977
45,0,-15,288.0,2.795541576006144e-13,2.7344793096517606e-13,4142.794088786044,4.46931380793103e-12,1.084998757505673e-11,-1381.9931036079772
45,0,-15,324.0,6.06736882957648e-13,-1.3217205108162489e-13,4142.794088786046,6.192379942149273e-12,4.870770453635487e-12,-1381.9931036079788
45,0,-10,0.0,9.992007221626409e-14,2.2315482794965646e-14,4142.794088786055,-8.880007840161852e-12,1.3287149158713873e-12,-1381.993103607982
45,0,-10,36.0,-5.640574812781907e-13,-1.2581047315052274e-12,4142.794088786063,-1.1896039708858552e-11,-2.3739232801744947e-11,-1381.9931036079838
45,0,-10,72.0,1.336819543951151e-12,-1.8849366512085908e-12,4142.794088786071,7.73070496506989e-12,-3.447553353908006e-11,-1381.993103607987
45,0,-10,108.0,1.5969447986208252e-12,-4.34485780687055e-13,4142.794088786078,1.8044232774627744e-11,-1.779465463869201e-11,-1381.9931036079893
45,0,-10,144.0,2.851718861052177e-12,7.221445663674331e-13,4142.794088786081,3.823785732492979e-11,2.2222224060897133e-12,-1381.9931036079902
45,0,-10,180.0,1.417754802446325e-12,1.762034962382586e-12,4142.794088786076,2.8427038500922208e-11,1.4914292023604503e-11,-1381.993103607989
45,0,-10,216.0,8.196585771225173e-13,1.8732793094500266e-12,4142.794088786069,2.4444002377776997e-11,2.2186696924109128e-11,-1381.9931036079852
45,0,-10,252.0,2.9976021664879227e-14,1.5929479957321746e-12,4142.794088786079,6.7910121970271575e-12,2.4551027877350862e-11,-1381.9931036079884
45,0,-10,288.0,-1.527777904186678e-12,1.9313994847891536e-12,4142.794088786068,-1.9472423673505546e-11,3.5000446985122835e-11,-1381.9931036079856
45,0,-10,324.0,-1.2078116284897078e-12,-3.7087000137603354e-13,4142.794088786074,-2.319211489520967e-11,7.888800723776512e-12,-1381.9931036079881
45,0,-5,0.0,-1.1958212198237561e-12,-8.104628079763643e-13,4142.79408878608,-2.8895996706523874e-11,-5.552891479965183e-12,-1381.99310360799
45,0,-5,36.0,-1.2200119386962527e-12,-2.7787772083343043e-12,4142.794088786078,-2.8681501618166294e-11,-4.338218673183292e-11,-1381.993103607989
45,0,-5,72.0,2.296607348739599e-12,-3.4169334028888443e-12,4142.794088786094,1.587885378739884e-11,-4.945199805206357e-11,-1381.9931036079945
45,0,-5,108.0,2.9146685065484235e-12,2.7144952952085077e-14,4142.794088786092,3.075939503105474e-11,-1.3845813384705252e-11,-1381.9931036079934
45,0,-5,144.0,3.361311229355124e-12,1.4715451079894137e-12,4142.794088786091,4.597211500367848e-11,6.0467186813184526e-12,-1381.9931036079938
45,0,-5,180.0,1.0850209619661655e-12,1.8111068200710179e-12,4142.794088786086,2.4716229063415085e-11,9.208633855450898e-12,-1381.9931036079915
45,0,-5,216.0,-1.1540594868630905e-13,7.7982065249671e-13,4142.79408878609,1.3845591340100327e-11,6.465938895416912e-13,-1381.9931036079934
45,0,-5,252.0,-4.898303984646191e-13,1.1723955140041653e-12,4142.794088786095,5.5351279115711804e-12,1.723421405586123e-11,-1381.9931036079947
45,0,-5,288.0,-1.9630963521422018e-12,8.026912468039882e-13,4142.794088786081,-1.5976553413565853e-11,1.9741541734674684e-11,-1381.9931036079904
45,0,-5,324.0,-4.777289674962049e-13,-1.2437273433363316e-12,4142.794088786085,-8.5087492607272e-12,2.26929586233382e-12,-1381.9931036079918
45,0,0,0.0,-8.412159857584811e-13,-1.1308731728831845e-12,4142.794088786096,-2.4128254949573602e-11,-5.8548721426632255e-12,-1381.9931036079947
45,0,0,36.0,-1.3289022660067928e-13,-2.238764729156628e-12,4142.7940887861,-1.496180956905846e-11,-3.5857539160133456e-11,-1381.9931036079965
45,0,0,72.0,2.713052005276495e-12,-1.9916290838750683e-12,4142.794088786103,1.809041805245215e-11,-3.680789006921259e-11,-1381.9931036079977
45,0,0,108.0,3.4897640333042546e-12,1.0417777751570156e-12,4142.7940887861005,3.8411940295191016e-11,-6.036948718701751e-12,-1381.993103607997
45,0,0,144.0,2.8638202920205913e-12,3.3610336735989677e-12,4142.794088786109,3.8181013906068983e-11,2.7423396886661067e-11,-1381.993103608
45,0,0,180.0,4.007905118896815e-14,3.38717942582889e-12,4142.794088786101,1.0903278280238737e-11,2.6208368808511295e-11,-1381.993103607998
45,0,0,216.0,-9.714919840808633e-13,1.6179280137862406e-12,4142.7940887861,9.474643292151086e-13,1.105959768210596e-11,-1381.9931036079963
45,0,0,252.0,-1.567190821560871e-12,1.2114753644709708e-12,4142.794088786106,-8.233413950620161e-12,1.0702549957386509e-11,-1381.9931036079981
45,0,0,288.0,-2.581712621463339e-12,5.362932320451819e-13,4142.7940887861005,-2.5213608978447155e-11,7.544187496932864e-12,-1381.993103607996
45,0,0,324.0,-1.2938539128981574e-12,-1.883493361276578e-12,4142.794088786096,-1.920952286127431e-11,-1.3508305585219205e-11,-1381.9931036079963
45,0,5,0.0,-6.401545959988653e-13,-1.8847146066036657e-12,4142.794088786109,-1.566924368034961e-11,-1.6562751170567935e-11,-1381.9931036079993
45,0,5,36.0,-2.5687958704612157e-13,-3.211431121030728e-12,4142.794088786107,-1.0944356532149868e-11,-4.517985985330597e-11,-1381.9931036079981
