Time_s,RotorSpeed_rad_s,Qaero_Nm,Predicted_WindZ
0.0,0.0,1336035.6587486006,-889632.0115724229
0.01,44.955606135758295,667380.3285519086,-222736.59017620524
0.02,44.91270423311071,-1346.736331745505,-0.3801282344504635
0.03,44.8699480054453,-1299.772144872988,-0.8883957281916945
0.04,44.82737676546862,-1331.4909168783583,-0.49555870225358767
0.05,44.78498917603507,-1310.334000200556,-0.709091925659882
0.06,44.74278509060298,-1324.4398842458136,-0.5181162552384215
0.07,44.70076432581375,-1315.036881621808,-0.5972469522686517
0.08,44.65892669751016,-1321.306489608511,-0.4963347445219668
0.09,44.61727201969042,-1317.127699043429,-0.5157299093350964
0.1,44.57580010454952,-1319.914516304317,-0.455025782118339
0.11,44.53451076248867,-1318.0576037455585,-0.4479389820875035
0.12,44.49340380212568,-1319.2965197469598,-0.4052496813613118
0.13,44.45247903030523,-1318.4715586712173,-0.3864876509356243
0.14,44.41173625210915,-1319.0225242258985,-0.351933443752797
0.15,44.37117527086674,-1318.656213888706,-0.3280888756869942
0.16,44.33079588816499,-1318.901429290621,-0.29727173402983453
0.17,44.29059790385881,-1318.7389692939062,-0.2712800862146203
0.18,44.25058111608125,-1318.8483012734737,-0.24224238352027605
0.19,44.2107453212537,-1318.7764469292242,-0.2154108352197266
0.2,44.17109031409605,-1318.8253917443303,-0.18728138488099866
0.21,44.13161588763688,-1318.7938120133103,-0.16019218742218122
0.22,44.09232183322354,-1318.8159234899792,-0.13258346292904477
0.23,44.053207940532346,-1318.8022489553011,-0.10549612224177096
0.24,44.01427399757859,-1318.8124398387854,-0.07823590236113631
0.25,43.9755197907267,-1318.806728471145,-0.05126623065739189
0.26,43.93694510470024,-1318.8116265825288,-0.024278130509792106
0.27,43.898549722591966,-1318.809459636697,0.0025220416157001324
0.28,43.86033342587388,-1318.8120106082845,0.02927175610077626
0.29,43.8222959944072,-1318.8114241317242,0.05587909323622675
0.3,43.78443720645232,-1318.812937068362,0.08240518221751003
0.31,43.74675683867881,-1318.8130581280843,0.10880904645563838
0.32,43.70925466617537,-1318.81411478871,0.13511783631347107
0.33,43.67193046245968,-1318.8145553496686,0.16131325459406476
0.34,43.63478399948837,-1318.8154142291742,0.18740732993076215
0.35,43.59781504766688,-1318.8160017663572,0.2133918633177565
0.36,43.56102337585933,-1318.816777686627,0.2392721555336852
0.37,43.52440875139832,-1318.817435457996,0.26504450550802083
0.38,43.4879709400948,-1318.8181793867132,0.2907112224536412
0.39,43.45170970624788,-1318.8188732203007,0.3162706104276829
0.4,43.41562481265453,-1318.8196077457003,0.3417236501467915
0.41,43.37971602061943,-1318.8203223902888,0.3670695411964431
0.42,43.34398308996468,-1318.8210574878717,0.39230867601951225
0.43,43.30842577903949,-1318.8217861013384,0.41744065582058454
0.44,43.27304384472992,-1318.8225261410184,0.4424656142260517
0.45,43.23783704246853,-1318.8232656191517,0.46738333420383427
0.46,43.20280512624407,-1318.8240124799477,0.4921938371799701
0.47,43.167947848611085,-1318.8247613797266,0.5168969900058027
0.48,43.13326496069954,-1318.8255158337329,0.5414927671500394
0.49,43.09875621222443,-1318.8262734513523,0.5659810757646007
0.5,43.06442135149533,-1318.827035779167,0.5903618723706838
0.51,43.03026012542599,-1318.827801739049,0.6146350850006339
0.52,42.99627227954382,-1318.8285720028573,0.6388006651242133
0.53,42.96245755799943,-1318.8293460758996,0.6628585529909667
0.54,42.92881570357613,-1318.8301242412283,0.6868087007342449
0.55,42.895346457699375,-1318.8309062635635,0.7106510569437106
0.56,42.86204956044624,-1318.8316922533236,0.7343855769409391
0.5700000000000001,42.82892475055482,-1318.8324820904515,0.7580122159065361
0.58,42.79597176543367,-1318.833275808658,0.7815309334503802
0.59,42.76319034117117,-1318.8340733393125,0.8049416905472189
0.6,42.730580212544886,-1318.834874682127,0.828244451563938
0.61,42.698141113030935,-1318.8356797913484,0.8514391828905108
0.62,42.66587277481329,-1318.836488651653,0.8745258538370884
0.63,42.63377492879307,-1318.8373012275251,0.8975044360186875
0.64,42.60184730459787,-1318.8381174969186,0.9203749037479945
0.65,42.57008963059095,-1318.8389374289272,0.943137233757982
0.66,42.53850163388053,-1318.8397609987092,0.9657914053706023
0.67,42.50708304032897,-1318.8405881775748,0.9883374003678789
