RPM,WindMagnitude,AngleDegrees,WindX,WindY,WindZ,VmagCosAngle,Fx,Fy,Fz,Qx,Qy,Qz,Propeller_1_Fx,Propeller_1_Fy,Propeller_1_Fz,Propeller_1_Qx,Propeller_1_Qy,Propeller_1_Qz
45,0,-20,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,-15,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,-10,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,-5,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,0,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,5,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,10,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,15,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,0,20,0,0,0,0,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104,2.17E-13,-1.19E-12,4142.794089,-3.99E-12,-6.21E-12,-1381.993104
45,2,-20,1.879385242,0,-0.684040287,1.879385242,19.99532855,-1.158292544,3960.284334,168.784091,7.109211465,-1322.18435,19.99532855,-1.158292544,3960.284334,168.784091,7.109211465,-1322.18435
45,2,-15,1.931851653,0,-0.51763809,1.931851653,20.68814165,-1.207182372,4005.185745,174.4861158,7.338900464,-1336.877668,20.68814165,-1.207182372,4005.185745,174.4861158,7.338900464,-1336.877668
45,2,-10,1.969615506,0,-0.347296355,1.969615506,21.2316062,-1.248079311,4051.078059,178.9212198,7.515490707,-1351.898346,21.2316062,-1.248079311,4051.078059,178.9212198,7.515490707,-1351.898346
45,2,-5,1.992389396,0,-0.174311485,1.992389396,21.61852342,-1.28030232,4097.607789,182.033171,7.636958131,-1367.130868,21.61852342,-1.28030232,4097.607789,182.033171,7.636958131,-1367.130868
